,Time,T+1,T+2,T+3
4850,2020-11-13 02:00:00,441.34336400000007,443.15432400000003,443.69761200000005
4851,2020-11-13 03:00:00,443.15432400000003,443.69761200000005,443.65233800000004
4852,2020-11-13 04:00:00,443.69761200000005,443.65233800000004,442.02247400000005
4853,2020-11-13 05:00:00,443.65233800000004,442.02247400000005,435.54829200000006
4854,2020-11-13 06:00:00,442.02247400000005,435.54829200000006,427.67061600000005
4855,2020-11-13 07:00:00,435.54829200000006,427.67061600000005,423.14321600000005
4856,2020-11-13 08:00:00,427.67061600000005,423.14321600000005,422.50938
4857,2020-11-13 09:00:00,423.14321600000005,422.50938,424.908902
4858,2020-11-13 10:00:00,422.50938,424.908902,424.591984
4859,2020-11-13 11:00:00,424.908902,424.591984,417.03122600000006
4860,2020-11-13 12:00:00,424.591984,417.03122600000006,429.889042
4861,2020-11-13 13:00:00,417.03122600000006,429.889042,434.55226400000004
4862,2020-11-13 14:00:00,429.889042,434.55226400000004,437.85726600000004
4863,2020-11-13 15:00:00,434.55226400000004,437.85726600000004,439.53240400000004
4864,2020-11-13 16:00:00,437.85726600000004,439.53240400000004,440.39261000000005
4865,2020-11-13 17:00:00,439.53240400000004,440.39261000000005,441.29809000000006
4866,2020-11-13 18:00:00,440.39261000000005,441.29809000000006,442.20357
4867,2020-11-13 20:00:00,442.20357,442.33939200000003,442.33939200000003
4868,2020-11-13 21:00:00,442.33939200000003,442.33939200000003,442.52048800000006
4869,2020-11-13 22:00:00,442.33939200000003,442.52048800000006,442.88268000000005
4870,2020-11-13 23:00:00,442.52048800000006,442.88268000000005,443.78816000000006
4871,2020-11-14 00:00:00,442.88268000000005,443.78816000000006,443.69761200000005
4872,2020-11-14 01:00:00,443.78816000000006,443.69761200000005,443.89550319354845
4873,2020-11-24 11:00:00,401.321148,400.7325860000001,402.90573800000004
4874,2020-11-24 12:00:00,400.7325860000001,402.90573800000004,409.3799200000001
4875,2020-11-24 13:00:00,402.90573800000004,409.3799200000001,415.67300600000004
4876,2020-11-24 14:00:00,409.3799200000001,415.67300600000004,428.21390400000007
4877,2020-11-24 15:00:00,415.67300600000004,428.21390400000007,435.77466200000003
4878,2020-11-24 16:00:00,428.21390400000007,435.77466200000003,437.40452600000003
4879,2020-11-24 17:00:00,435.77466200000003,437.40452600000003,439.351308
4880,2020-11-24 18:00:00,437.40452600000003,439.351308,442.38466600000004
4881,2020-11-24 19:00:00,439.351308,442.38466600000004,444.37672200000003
4882,2020-11-24 20:00:00,442.38466600000004,444.37672200000003,446.23295600000006
4883,2020-11-24 21:00:00,444.37672200000003,446.23295600000006,446.821518
4884,2020-11-24 22:00:00,446.23295600000006,446.821518,448.99467000000004
4885,2020-11-24 23:00:00,446.821518,448.99467000000004,450.62453400000004
