,time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
125,2020/4/1 20:50,10,0,0,10,100,100,2.02004E+11
126,2020/4/1 21:00,10,0,0,10,100,100,2.02004E+11
127,2020/4/1 21:10,10,0,0,10,100,100,2.02004E+11
128,2020/4/1 21:20,10,0,0,10,100,100,2.02004E+11
129,2020/4/1 21:30,10,0,0,10,100,100,2.02004E+11
130,2020/4/1 21:40,10,0,0,10,100,100,2.02004E+11
131,2020/4/1 21:50,10,0,0,10,100,100,2.02004E+11
132,2020/4/1 22:00,10,0,0,10,100,100,2.02004E+11
133,2020/4/1 22:10,10,0,0,10,100,100,2.02004E+11
134,2020/4/1 22:20,10,0,0,10,100,100,2.02004E+11
135,2020/4/1 22:30,10,0,0,10,100,100,2.02004E+11
136,2020/4/1 22:40,10,0,0,10,100,100,2.02004E+11
137,2020/4/1 22:50,10,0,0,10,100,100,2.02004E+11
138,2020/4/1 23:00,10,0,0,10,100,100,2.02004E+11
139,2020/4/1 23:10,10,0,0,10,100,100,2.02004E+11
140,2020/4/1 23:20,10,0,0,10,100,100,2.02004E+11
141,2020/4/1 23:30,10,0,0,10,100,100,2.02004E+11
142,2020/4/1 23:40,10,0,0,10,100,100,2.02004E+11
143,2020/4/1 23:50,10,0,0,10,100,100,2.02004E+11
144,2020/4/2 00:00,10,0,0,10,100,100,2.02004E+11
145,2020/4/2 00:10,10,0,0,10,100,100,2.02004E+11
146,2020/4/2 00:20,10,0,0,10,100,100,2.02004E+11
147,2020/4/2 00:30,10,0,0,10,100,100,2.02004E+11
148,2020/4/2 00:40,10,0,0,10,100,100,2.02004E+11
149,2020/4/2 00:50,10,0,0,10,100,100,2.02004E+11
150,2020/4/2 01:00,10,0,0,10,100,100,2.02004E+11
151,2020/4/2 01:10,10,0,0,10,100,100,2.02004E+11
152,2020/4/2 01:20,10,0,0,10,100,100,2.02004E+11
153,2020/4/2 01:30,10,0,0,10,100,100,2.02004E+11
154,2020/4/2 01:40,10,0,0,10,100,100,2.02004E+11
155,2020/4/2 01:50,10,0,0,10,100,100,2.02004E+11
156,2020/4/2 02:00,10,0,0,10,100,100,2.02004E+11
157,2020/4/2 02:10,10,0,0,10,100,100,2.02004E+11
158,2020/4/2 02:20,10,0,0,10,100,100,2.02004E+11
159,2020/4/2 02:30,10,0,0,10,100,100,2.02004E+11
160,2020/4/2 02:40,10,0,0,10,100,100,2.02004E+11
161,2020/4/2 02:50,10,0,0,10,100,100,2.02004E+11
162,2020/4/2 03:00,10,0,0,10,100,100,2.02004E+11
163,2020/4/2 03:10,10,0,0,10,100,100,2.02004E+11
164,2020/4/2 03:20,10,0,0,10,100,100,2.02004E+11
165,2020/4/2 03:30,10,0,0,10,100,100,2.02004E+11
166,2020/4/2 03:40,10,0,0,10,100,100,2.02004E+11
167,2020/4/2 03:50,10,0,0,10,100,100,2.02004E+11
168,2020/4/2 04:00,10,0,0,10,100,100,2.02004E+11
169,2020/4/2 04:10,10,0,0,10,100,100,2.02004E+11
170,2020/4/2 04:20,10,0,0,10,100,100,2.02004E+11
171,2020/4/2 04:30,10,0,0,10,100,100,2.02004E+11
172,2020/4/2 04:40,10,0,0,10,100,100,2.02004E+11
173,2020/4/2 04:50,10,0,0,10,100,100,2.02004E+11
174,2020/4/2 05:00,10,0,0,10,100,100,2.02004E+11
175,2020/4/2 05:10,10,0,0,10,100,100,2.02004E+11
176,2020/4/2 05:20,10,0,0,10,100,100,2.02004E+11
177,2020/4/2 05:30,10,0,0,10,100,100,2.02004E+11
178,2020/4/2 05:40,10,0,0,10,100,100,2.02004E+11
179,2020/4/2 05:50,10,0,0,10,100,100,2.02004E+11
180,2020/4/2 06:00,10,0,0,10,100,100,2.02004E+11
181,2020/4/2 06:10,10,0,0,10,100,100,2.02004E+11
182,2020/4/2 06:20,10,0,0,10,100,100,2.02004E+11
183,2020/4/2 06:30,10,0,0,10,100,100,2.02004E+11
184,2020/4/2 06:40,10,0,0,10,100,100,2.02004E+11
185,2020/4/2 06:50,10,0,0,10,100,100,2.02004E+11
186,2020/4/2 07:00,10,0,0,10,100,100,2.02004E+11
187,2020/4/2 07:10,10,0,0,10,100,100,2.02004E+11
188,2020/4/2 07:20,10,0,0,10,100,100,2.02004E+11
189,2020/4/2 07:30,10,0,0,10,100,100,2.02004E+11
190,2020/4/2 07:40,10,0,0,10,100,100,2.02004E+11
191,2020/4/2 07:50,10,0,0,10,100,100,2.02004E+11
192,2020/4/2 08:00,10,0,0,10,100,100,2.02004E+11
193,2020/4/2 08:10,10,0,0,10,100,100,2.02004E+11
194,2020/4/2 08:20,10,0,0,10,100,100,2.02004E+11
